,vid,category,resolution,x_Subjects,MOSFull,MOSChunk00,MOSChunk05,MOSChunk10,stdFull,stdChunk00,stdChunk05,stdChunk10,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
50,Gaming_480P-09ab,Gaming,480,128,3.795,3.747,3.8289999999999997,3.78,0.5670000000000001,0.5710000000000001,0.552,0.511,848,480,yuv420p,30.0,,,
51,Gaming_480P-0a03,Gaming,480,124,2.676,2.5810000000000004,2.484,2.559,0.7490000000000001,0.725,0.735,0.742,720,480,yuv411p,29.97002997,,,
53,Gaming_480P-0d23,Gaming,480,113,3.466,3.378,3.3310000000000004,3.358,0.583,0.546,0.68,0.6579999999999999,640,480,yuv420p,29.6,,,
54,Gaming_480P-0dbc,Gaming,480,114,2.9730000000000003,2.8510000000000004,2.968,2.938,0.611,0.57,0.616,0.61,720,480,yuv422p,29.97002997,,,
55,Gaming_480P-14fc,Gaming,480,124,3.822,3.7319999999999998,3.813,3.84,0.503,0.574,0.45299999999999996,0.48700000000000004,854,480,yuv420p,29.97002997,,,
56,Gaming_480P-1542,Gaming,480,104,2.7760000000000002,2.545,2.7060000000000004,2.636,0.657,0.622,0.645,0.633,854,480,yuv420p,29.97002997,,,
57,Gaming_480P-20ca,Gaming,480,117,2.891,2.95,2.861,2.693,0.731,0.72,0.72,0.67,720,480,yuv411p,29.97002997,,,
61,Gaming_480P-3a44,Gaming,480,112,3.043,2.9189999999999996,2.957,3.062,0.607,0.672,0.655,0.648,720,480,yuv420p,29.97002997,,,
62,Gaming_480P-445b,Gaming,480,106,3.714,3.825,3.8289999999999997,3.648,0.523,0.46799999999999997,0.512,0.48200000000000004,640,480,yuv420p,29.97002997,,,
63,Gaming_480P-4560,Gaming,480,114,3.904,3.8139999999999996,3.9419999999999997,3.91,0.527,0.466,0.52,0.474,854,480,yuv420p,59.545,,,
64,Gaming_480P-5a5a,Gaming,480,130,3.478,3.216,3.373,3.522,0.583,0.7140000000000001,0.6759999999999999,0.562,854,480,yuv420p,25.0,,,
65,Gaming_480P-61ee,Gaming,480,115,3.6310000000000002,3.435,3.46,3.24,0.503,0.491,0.502,0.667,640,480,pal8,70.0,,,
66,Gaming_480P-626a,Gaming,480,122,3.786,3.701,3.498,3.6319999999999997,0.498,0.48,0.52,0.505,856,480,yuv420p,30.0,,,
67,Gaming_480P-6491,Gaming,480,122,3.013,2.875,3.009,3.115,0.695,0.6659999999999999,0.6759999999999999,0.625,720,480,yuv420p,29.932,,,
68,Gaming_480P-6548,Gaming,480,126,2.8710000000000004,2.61,2.528,3.077,0.727,0.7909999999999999,0.764,0.6970000000000001,640,480,yuv420p,29.97002997,,,
69,Gaming_480P-6a5a,Gaming,480,124,3.468,3.312,3.42,3.483,0.512,0.574,0.564,0.532,854,480,yuv420p,29.97002997,,,
70,Gaming_480P-6c92,Gaming,480,140,2.3480000000000003,2.21,2.281,2.4,0.899,0.69,0.889,0.619,864,480,yuv420p,29.706,,,
71,Gaming_480P-6cdc,Gaming,480,127,2.425,2.23,2.162,2.463,0.527,0.484,0.493,0.504,640,480,yuv420p,29.97002997,,,
72,Gaming_480P-6d1e,Gaming,480,117,2.674,2.569,2.6310000000000002,2.678,0.632,0.66,0.737,0.672,566,480,yuv420p,29.97002997,,,
73,Gaming_480P-6f4b,Gaming,480,120,3.67,3.588,3.509,3.603,0.494,0.537,0.53,0.493,864,480,yuv420p,30.0,,,
74,Gaming_480P-75f7,Gaming,480,127,2.798,2.7880000000000003,3.0060000000000002,2.9930000000000003,0.728,0.8109999999999999,0.674,0.65,640,480,yuv420p,29.97002997,,,
76,Gaming_480P-7a08,Gaming,480,128,3.792,3.7439999999999998,3.5380000000000003,3.698,0.5670000000000001,0.5870000000000001,0.7090000000000001,0.542,640,480,yuv420p,35.0,,,
77,Gaming_480P-7ccb,Gaming,480,118,3.5810000000000004,3.4530000000000003,3.609,3.6069999999999998,0.506,0.512,0.517,0.517,852,480,yuv420p,30.02100162,,,
78,Gaming_480P-7e76,Gaming,480,117,2.397,2.146,2.336,2.306,0.695,0.888,0.652,0.616,720,480,yuv411p,29.97002997,,,
79,HowTo_480P-04f1,HowTo,480,134,3.4539999999999997,3.187,3.26,3.438,0.489,0.526,0.511,0.425,640,480,yuv420p,30.0,,,
80,HowTo_480P-0cb3,HowTo,480,132,3.592,3.5269999999999997,3.5410000000000004,3.5589999999999997,0.503,0.512,0.45899999999999996,0.511,640,480,yuv422p,30.0,,,
81,HowTo_480P-0d00,HowTo,480,142,3.998,4.046,4.043,4.0280000000000005,0.625,0.634,0.631,0.665,640,480,yuv420p,25.0,,,
82,HowTo_480P-0eb3,HowTo,480,121,2.5069999999999997,2.339,2.5269999999999997,2.552,0.563,0.5870000000000001,0.557,0.525,848,480,yuv422p,30.0,,,
83,HowTo_480P-118d,HowTo,480,145,1.462,1.3130000000000002,1.294,1.27,0.76,0.56,0.519,0.485,640,480,yuv420p,30.0,,,
84,HowTo_480P-15c1,HowTo,480,116,3.264,3.361,3.202,3.247,0.698,0.63,0.653,0.687,848,480,yuv420p,18.785,,,
86,HowTo_480P-221e,HowTo,480,113,3.283,3.2,3.306,3.2289999999999996,0.5760000000000001,0.6409999999999999,0.6609999999999999,0.674,640,480,yuv420p,15.0,,,
87,HowTo_480P-2610,HowTo,480,121,2.9810000000000003,2.8760000000000003,3.0980000000000003,2.978,0.5429999999999999,0.637,0.635,0.648,640,480,yuv420p,1.9980019980000001,,,
88,HowTo_480P-32c9,HowTo,480,134,2.51,2.3930000000000002,2.532,2.295,0.73,0.723,0.76,0.664,640,480,yuv420p,25.0,,,
89,HowTo_480P-3435,HowTo,480,126,3.93,3.971,4.148,4.061,0.483,0.547,0.537,0.563,640,480,yuv420p,59.94006309,,,
91,HowTo_480P-470b,HowTo,480,118,3.858,3.7,3.8139999999999996,3.8,0.547,0.511,0.513,0.473,640,480,yuv420p,29.97002997,,,
93,HowTo_480P-4948,HowTo,480,120,2.551,2.4530000000000003,2.498,2.655,0.611,0.5720000000000001,0.523,0.5710000000000001,640,480,yuv420p,1.994,,,
94,HowTo_480P-4a28,HowTo,480,127,3.659,3.6519999999999997,3.6510000000000002,3.469,0.47600000000000003,0.501,0.524,0.528,720,480,yuv420p,29.97002997,,,
95,HowTo_480P-4b6a,HowTo,480,106,2.763,2.5789999999999997,2.722,2.549,0.6890000000000001,0.579,0.7,0.6990000000000001,640,480,yuv420p,1.966,,,
96,HowTo_480P-4c99,HowTo,480,111,2.94,2.7510000000000003,2.793,3.1710000000000003,0.616,0.648,0.6729999999999999,0.608,850,480,yuv420p,30.0,,,
97,HowTo_480P-56a5,HowTo,480,103,4.085,3.8819999999999997,3.969,4.228,0.522,0.49700000000000005,0.5379999999999999,0.527,640,480,yuv420p,30.0,,,
99,HowTo_480P-60b3,HowTo,480,109,3.576,3.429,3.015,3.3960000000000004,0.531,0.528,0.698,0.545,640,480,yuv420p,15.0,,,
100,HowTo_480P-63a2,HowTo,480,128,3.5589999999999997,3.59,3.534,3.531,0.51,0.48,0.528,0.539,720,480,yuv411p,29.97002997,,,
101,HowTo_480P-64a2,HowTo,480,118,2.8360000000000003,3.6310000000000002,2.915,1.883,0.682,0.456,0.64,0.782,854,480,yuv420p,29.97002997,,,
102,HowTo_480P-7579,HowTo,480,110,4.079,3.883,3.992,4.08,0.596,0.465,0.473,0.43,854,480,yuv420p,29.97002997,,,
103,HowTo_480P-7c11,HowTo,480,127,3.267,3.2030000000000003,3.109,3.174,0.537,0.529,0.585,0.531,720,480,yuv420p,29.97002997,,,
104,Lecture_480P-02f2,Lecture,480,109,3.261,3.179,3.0869999999999997,3.2430000000000003,0.532,0.7020000000000001,0.642,0.5379999999999999,720,480,yuv420p,29.97002997,,,
106,Lecture_480P-11df,Lecture,480,124,3.514,3.4619999999999997,3.383,3.4610000000000003,0.496,0.442,0.46299999999999997,0.449,720,480,yuv420p,29.97002997,,,
107,Lecture_480P-181a,Lecture,480,134,1.785,1.58,2.031,1.9269999999999998,0.698,0.6970000000000001,0.9109999999999999,0.698,640,480,yuv420p,29.230999999999998,,,
108,Lecture_480P-1ec3,Lecture,480,119,3.1860000000000004,3.083,3.0260000000000002,3.063,0.6629999999999999,0.6990000000000001,0.69,0.6679999999999999,720,480,yuv420p,15.0,,,
109,Lecture_480P-2513,Lecture,480,112,1.879,1.903,2.017,1.7919999999999998,0.613,0.5589999999999999,0.48200000000000004,0.575,640,480,yuv420p,25.0,,,
110,Lecture_480P-2655,Lecture,480,121,3.261,3.002,2.9139999999999997,2.7,0.547,0.583,0.605,0.593,640,480,yuv422p,30.0,,,
111,Lecture_480P-2ed0,Lecture,480,139,1.453,1.456,1.272,1.2790000000000001,0.767,0.8270000000000001,0.605,0.557,640,480,yuv420p,25.0,,,
112,Lecture_480P-369f,Lecture,480,138,4.1930000000000005,4.05,3.866,3.758,0.505,0.43799999999999994,0.5660000000000001,0.49,856,480,yuv420p,24.0,,,
113,Lecture_480P-3bdc,Lecture,480,114,3.168,2.904,3.013,2.991,0.552,0.624,0.626,0.556,640,480,yuv420p,15.0,,,
114,Lecture_480P-41b7,Lecture,480,113,3.3280000000000003,3.082,3.258,3.161,0.568,0.495,0.531,0.534,640,480,yuv420p,29.97002997,,,
115,Lecture_480P-4272,Lecture,480,119,3.457,3.363,3.284,3.1439999999999997,0.511,0.5,0.542,0.621,640,480,yuv420p,10.0,,,
116,Lecture_480P-42c3,Lecture,480,127,3.451,3.312,3.22,3.438,0.544,0.525,0.64,0.562,638,480,yuv420p,30.0,,,
117,Lecture_480P-4bc3,Lecture,480,130,3.93,3.9810000000000003,4.004,3.9330000000000003,0.483,0.46,0.414,0.446,854,480,yuv420p,30.0,,,
118,Lecture_480P-4c86,Lecture,480,116,3.6660000000000004,3.6919999999999997,3.236,3.0380000000000003,0.43700000000000006,0.45799999999999996,0.519,0.583,720,480,yuv411p,29.97002997,,,
119,Lecture_480P-5aee,Lecture,480,124,2.6060000000000003,2.6460000000000004,2.708,2.66,0.611,0.551,0.579,0.608,352,480,yuv420p,29.97002997,,,
120,Lecture_480P-5cd7,Lecture,480,116,4.024,4.0,3.785,3.79,0.39899999999999997,0.495,0.451,0.537,720,480,yuv420p,29.97002997,,,
121,Lecture_480P-5f3a,Lecture,480,120,2.324,2.33,2.285,2.435,0.565,0.575,0.614,0.6,352,480,yuv420p,29.97002997,,,
122,Lecture_480P-6191,Lecture,480,125,3.502,3.2880000000000003,3.315,3.323,0.526,0.529,0.519,0.522,640,480,yuv420p,25.0,,,
123,Lecture_480P-6b1e,Lecture,480,104,3.3680000000000003,3.142,3.125,3.292,0.5760000000000001,0.633,0.623,0.629,640,480,yuv420p,10.0,,,
124,Lecture_480P-71c0,Lecture,480,125,3.2489999999999997,3.196,3.2689999999999997,3.3169999999999997,0.649,0.518,0.5479999999999999,0.498,640,480,yuv420p,25.0,,,
125,Lecture_480P-71d6,Lecture,480,128,3.275,3.077,3.323,2.99,0.486,0.6609999999999999,0.5539999999999999,0.619,640,480,yuv420p,29.97002997,,,
126,Lecture_480P-7205,Lecture,480,126,3.417,3.322,3.3110000000000004,3.344,0.473,0.433,0.501,0.483,640,480,yuv420p,25.0,,,
127,Lecture_480P-73f6,Lecture,480,117,3.2560000000000002,3.0580000000000003,3.025,2.9819999999999998,0.584,0.607,0.615,0.5770000000000001,640,480,yuv420p,29.97002997,,,
128,Lecture_480P-74cf,Lecture,480,118,3.428,3.1319999999999997,3.207,3.304,0.46299999999999997,0.48100000000000004,0.441,0.46399999999999997,720,480,yuv420p,29.97002997,,,
129,Lecture_480P-74ea,Lecture,480,126,3.258,3.449,3.508,3.424,0.657,0.54,0.505,0.462,640,480,yuv420p,25.0,,,
130,Lecture_480P-7d77,Lecture,480,134,3.5980000000000003,3.3989999999999996,3.408,3.484,0.486,0.516,0.48100000000000004,0.46,640,480,yuv420p,25.0,,,
131,Lecture_480P-7e55,Lecture,480,122,3.5380000000000003,3.4989999999999997,3.4960000000000004,3.483,0.565,0.568,0.637,0.525,642,480,yuv420p,30.0,,,
132,Lecture_480P-7eec,Lecture,480,121,3.015,2.972,2.957,2.8680000000000003,0.612,0.664,0.618,0.594,854,480,yuv420p,29.97002997,,,
133,LiveMusic_480P-0638,LiveMusic,480,135,2.909,2.8989999999999996,2.822,2.781,0.639,0.6920000000000001,0.621,0.617,852,480,yuv420p,29.97002997,,,
134,LiveMusic_480P-1a91,LiveMusic,480,120,3.173,2.971,3.195,3.1239999999999997,0.603,0.639,0.517,0.51,720,480,yuv420p,29.97002997,,,
135,LiveMusic_480P-2019,LiveMusic,480,125,3.6310000000000002,3.57,3.4560000000000004,3.397,0.5539999999999999,0.529,0.47100000000000003,0.48700000000000004,640,480,yuv420p,30.0,,,
136,LiveMusic_480P-2a5e,LiveMusic,480,121,3.089,3.043,2.967,2.99,0.608,0.522,0.544,0.598,640,480,yuv420p,29.97002997,,,
139,LiveMusic_480P-38f3,LiveMusic,480,121,2.9730000000000003,2.918,2.912,2.9810000000000003,0.601,0.619,0.643,0.617,640,480,yuv422p,30.0,,,
140,LiveMusic_480P-3d03,LiveMusic,480,119,2.7289999999999996,2.775,2.8280000000000003,2.0709999999999997,0.757,0.6920000000000001,0.562,0.8220000000000001,720,480,yuv420p,29.97002997,,,
142,LiveMusic_480P-459c,LiveMusic,480,107,2.755,2.7039999999999997,2.7039999999999997,2.781,0.652,0.51,0.612,0.635,640,480,yuv420p,29.97002997,,,
143,LiveMusic_480P-474a,LiveMusic,480,134,1.4909999999999999,1.208,1.3459999999999999,1.3940000000000001,0.733,0.32899999999999996,0.415,0.44799999999999995,640,480,yuv420p,25.0,,,
144,LiveMusic_480P-4c3a,LiveMusic,480,130,2.907,2.5980000000000003,2.69,2.799,0.6,0.49200000000000005,0.465,0.5329999999999999,640,480,yuv420p,25.0,,,
145,LiveMusic_480P-4f88,LiveMusic,480,133,3.267,3.228,3.1260000000000003,3.0239999999999996,0.653,0.5539999999999999,0.609,0.632,720,480,yuv420p,29.97002997,,,
146,LiveMusic_480P-559d,LiveMusic,480,124,3.695,4.11,3.968,3.63,0.484,0.647,0.684,0.488,640,480,yuv420p,29.97002997,,,
147,LiveMusic_480P-58fb,LiveMusic,480,121,3.502,3.417,3.343,3.438,0.456,0.502,0.5870000000000001,0.49200000000000005,640,480,yuv422p,29.97002997,,,
148,LiveMusic_480P-61ef,LiveMusic,480,132,3.153,3.159,2.97,2.83,0.602,0.49700000000000005,0.564,0.534,640,480,yuv420p,25.0,,,
150,LiveMusic_480P-6542,LiveMusic,480,119,3.2489999999999997,3.21,3.228,3.0789999999999997,0.47,0.501,0.445,0.56,640,480,yuv420p,29.97002997,,,
151,LiveMusic_480P-65ca,LiveMusic,480,122,3.6910000000000003,3.612,3.556,3.589,0.436,0.531,0.5539999999999999,0.45299999999999996,640,480,yuv420p,30.0,,,
153,LyricVideo_480P-0a5b,LyricVideo,480,109,3.247,3.043,3.19,3.053,0.544,0.614,0.522,0.599,640,480,yuv420p,25.0,,,
154,LyricVideo_480P-0f72,LyricVideo,480,129,2.064,2.125,1.939,2.294,0.695,0.542,0.6609999999999999,0.622,848,480,yuv420p,29.97002997,,,
155,LyricVideo_480P-1484,LyricVideo,480,113,3.145,3.713,3.68,2.491,0.67,0.509,0.5379999999999999,0.9840000000000001,854,480,yuv420p,29.97002997,,,
158,LyricVideo_480P-200a,LyricVideo,480,121,3.063,3.158,2.9419999999999997,2.9019999999999997,0.6779999999999999,0.677,0.629,0.6509999999999999,640,480,yuv420p,25.0,,,
159,LyricVideo_480P-2c50,LyricVideo,480,129,2.985,2.8360000000000003,2.866,2.9610000000000003,0.696,0.637,0.6509999999999999,0.5820000000000001,640,480,yuv420p,30.0,,,
160,LyricVideo_480P-3b2c,LyricVideo,480,123,3.472,3.322,3.2960000000000003,3.2739999999999996,0.535,0.57,0.607,0.5589999999999999,720,480,yuv420p,29.97002997,,,
161,LyricVideo_480P-3ccf,LyricVideo,480,105,2.639,2.465,2.494,2.342,0.645,0.46299999999999997,0.596,0.513,640,480,yuv420p,25.0,,,
162,LyricVideo_480P-4346,LyricVideo,480,129,3.193,2.105,3.2439999999999998,3.537,0.616,0.76,0.47100000000000003,0.485,854,480,yuv420p,29.97002997,,,
163,LyricVideo_480P-51e4,LyricVideo,480,129,3.179,3.1060000000000003,3.1239999999999997,3.141,0.573,0.657,0.608,0.614,640,480,yuv420p,30.0,,,
164,LyricVideo_480P-5c17,LyricVideo,480,123,3.344,3.437,3.29,2.8760000000000003,0.5,0.7070000000000001,0.6859999999999999,0.7709999999999999,640,480,yuv420p,30.0,,,
167,LyricVideo_480P-6fca,LyricVideo,480,137,2.572,2.448,2.397,2.289,0.754,0.563,0.569,0.645,848,480,yuv420p,29.97002997,,,
168,LyricVideo_480P-7919,LyricVideo,480,107,2.508,2.452,2.51,2.54,0.514,0.531,0.498,0.561,640,480,yuv420p,30.0,,,
170,MusicVideo_480P-0448,MusicVideo,480,107,3.4530000000000003,3.468,3.1639999999999997,3.13,0.523,0.556,0.611,0.598,640,480,yuv420p,24.962,,,
171,MusicVideo_480P-12fb,MusicVideo,480,115,3.0589999999999997,3.16,3.198,3.117,0.611,0.515,0.483,0.602,640,480,yuv420p,25.0,,,
172,MusicVideo_480P-184c,MusicVideo,480,113,3.7260000000000004,3.721,3.7680000000000002,3.678,0.478,0.41200000000000003,0.44799999999999995,0.43,640,480,yuv420p,25.0,,,
173,MusicVideo_480P-1eee,MusicVideo,480,132,3.0610000000000004,2.838,3.025,3.1060000000000003,0.5870000000000001,0.539,0.579,0.5479999999999999,640,480,yuv420p,30.0,,,
174,MusicVideo_480P-2de0,MusicVideo,480,137,3.47,3.395,3.361,3.408,0.525,0.5589999999999999,0.491,0.47600000000000003,656,480,yuv420p,25.0,,,
175,MusicVideo_480P-3aa2,MusicVideo,480,109,2.767,2.474,2.289,2.497,0.742,0.529,0.531,0.59,854,480,yuv420p,29.97002997,,,
176,MusicVideo_480P-3c8b,MusicVideo,480,119,2.908,2.69,2.713,2.7289999999999996,0.6659999999999999,0.762,0.764,0.7509999999999999,640,480,yuv410p,25.0,,,
177,MusicVideo_480P-41ce,MusicVideo,480,119,3.766,3.764,3.67,3.613,0.46799999999999997,0.48100000000000004,0.423,0.509,720,480,yuv411p,29.97002997,,,
179,MusicVideo_480P-483b,MusicVideo,480,119,1.5390000000000001,1.61,1.6440000000000001,1.507,0.7020000000000001,0.807,0.8370000000000001,0.741,720,480,yuv420p,29.97002997,,,
180,MusicVideo_480P-4cc8,MusicVideo,480,127,3.346,3.492,3.458,3.428,0.6920000000000001,0.623,0.5329999999999999,0.5589999999999999,854,480,yuv420p,29.97002997,,,
181,MusicVideo_480P-5461,MusicVideo,480,149,4.272,4.279,4.185,4.031000000000001,0.48200000000000004,0.442,0.526,0.486,854,480,yuv420p,29.97002997,,,
182,MusicVideo_480P-5830,MusicVideo,480,120,3.045,3.005,2.889,2.702,0.636,0.595,0.6579999999999999,0.593,640,480,yuv420p,30.0,,,
183,MusicVideo_480P-6026,MusicVideo,480,121,3.033,2.813,2.877,2.7739999999999996,0.608,0.46299999999999997,0.508,0.485,640,480,yuv420p,30.0,,,
184,MusicVideo_480P-61ba,MusicVideo,480,140,1.756,1.349,1.581,1.633,0.8640000000000001,0.5,0.711,0.7140000000000001,720,480,yuv420p,29.97002997,,,
185,MusicVideo_480P-66b2,MusicVideo,480,124,2.7089999999999996,2.6260000000000003,1.9509999999999998,2.057,0.843,0.836,0.706,0.858,640,480,yuv420p,15.0,,,
186,MusicVideo_480P-6fb6,MusicVideo,480,115,3.611,3.5639999999999996,3.47,3.662,0.5479999999999999,0.49700000000000005,0.531,0.5489999999999999,640,480,yuv420p,24.97502498,,,
187,MusicVideo_480P-7643,MusicVideo,480,121,3.093,3.017,2.945,3.275,0.613,0.579,0.6,0.511,1080,480,yuv420p,30.0,,,
188,MusicVideo_480P-7955,MusicVideo,480,116,3.509,3.4610000000000003,3.569,3.485,0.519,0.473,0.48,0.49200000000000005,854,480,yuv420p,30.0,,,
189,NewsClip_480P-0269,NewsClip,480,105,3.04,2.678,2.905,2.884,0.711,0.531,0.5920000000000001,0.623,720,480,yuv420p,29.97002997,,,
190,NewsClip_480P-0ce5,NewsClip,480,121,3.265,3.1519999999999997,2.957,2.6239999999999997,0.474,0.527,0.542,0.49200000000000005,720,480,yuv420p,29.97002997,,,
191,NewsClip_480P-15fa,NewsClip,480,120,3.5810000000000004,3.4739999999999998,3.6519999999999997,3.658,0.42200000000000004,0.49,0.48100000000000004,0.505,640,480,yuv420p,25.0,,,
192,NewsClip_480P-2407,NewsClip,480,130,2.688,2.636,2.582,2.593,0.575,0.5660000000000001,0.504,0.531,640,480,yuv422p,30.0,,,
193,NewsClip_480P-2642,NewsClip,480,121,2.688,2.625,2.5980000000000003,2.418,0.53,0.622,0.662,0.539,600,480,yuv420p,24.97502498,,,
